variable,value
Column11,  Chetejaw rub’i’
Column11,
Column11,"”  Ke re’ xcha’ ri Q’aq’awitz chi ke ri amaq’ Tz’utujile’, Ko’oni’, Tz’ununa’"
Column11,
Column11,
Column11,"  Xamb’ey chïk, pa k’isib’äl xe’apon ri B’ak’ajol"
Column11,"  Xa wi tan xetäx rajawarem kuma rujay, ruchinamit"
Column11,
Column11,"  Xa ja ri’ ri che’ ri e tzaqnäq qa, ri q’ayïs xqak’ät, xqaporoj"
Column11,
Column11,"  K’ate chrij xe’alk’waläx,  xe’aläx kalk’wal"
Column11,"  Xe’apon Pan Tzik, Pa Raxone’, Simajijay, Pa Sib’aq’ul, Pa Kaweq Kejil"
Column11,"  Töq xepe qa ri b’alb’axin che’ chuwäch ri juyu’, xeya’är chi kamïk, xekäm kan ri Ajkupilkat, Ajkanalaqam kuma qamama’"
Column11," Xa k’a kachäq chikopi’, kot, b’alam xkichunab’ej rupam che’, ruk’in rukis chiköp xkib’onij rupam ri che’"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  K’a ri’ xnimär ruwa kiq’ij
Column11,  Ke re’ xepa’e’ pa kiwi’ ri amaq’
Column11,
Column11,"  Ri Ajtz’ikinajay xkixib’ij ki’, xkina’  kuxla’, kuchuq’a’ ri alab’oni’"
Column11,  K’a ri’ xeya’öx k’a kixjayila’ chi kichin
Column11,
Column11,"  Kani k’a xecha’ ri Ka’i’ No’j, Ka’i’ B’atz’: “Mani qob’e,  man xkojb’e ta"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  Xa jun xojb’oso öj Xajila’
Column11, 
Column11,"  Re jun achin re’ ja rija’ xeya’o el Ka’i’ No’j, ri Ka’i’ B’atz’ töq xeb’e ruk’in Tepew"
Column11,
Column11," Najin nq’aq’är ri ajaw Ich’alkan Chikumkuwat, rajawal ri Aqajal winäq"
Column11, Xk’oje’ kuk’in ruwinäq chi taq’aj
Column11,
Column11,
Column11,"  Ke re’ xya’öx el ajaw Xulu’ K’atu’  kuma ajawa’ Ch’iyok Kej, T’ajt’aj Aq’ab’al"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  Manäq kikowil
Column11,"  Xajin niq’aqär re’ ajaw re’, rajawal ri Aqajal winäq"
Column11,
Column11,
Column11,
Column11,
Column11,"  Nxib’in ruq’aq’al, ruchuq’a’ chi kiwäch konojel ri wuqamaq’"
Column11,
Column11,
Column11,
Column11, Ri K’iche’a’ xeb’e chi rij ri ajaw K’iqab’
Column11,"  Man xeruya’ ta ruchinamital, runima’q achi’a’ chi ke ri K’iche’a’"
Column11,"  Kani  ri achija’, ri ajlab’al K’iche’ xkajo’ nkikamisaj ri ajaw K’iqab’  chuqa’"
Column11, 
Column11,
Column11,
Column11,
Column11,  K’a ri’ xuchäp chi ruq’a’
Column11,
Column11,
Column11,"  Xtik’ïs wawe’ ri nuq’aq’al, nutepewal chi iwäch"
Column11,
Column11,  Ketaman chi xtichapo lab’al  kuk’in ri K’iche’ winäq
Column11,"  Wi npe ta k’ayewal, wi xtib’än apo lab’al kuk’in ri K’iche’a’,  man xkixk’oje’ ta iyon"
Column11,
Column11,"  Chanin ri K’iche’ winäq xkitolob’a’ kan Chaqi’j Ya’, Pa Xiwanul"
Column11,  Xtaqëx kiq’aq’al qamama’ kuma konojel ri wuqamaq’
Column11,
Column11,
Column11,
Column11, Pan Atakat k’a  xtzaq wi Chopena’  Tz’ikin Uk’a’
Column11,
Column11,
Column11, Xk’oje’ jun kiwinäq ri K’ech’e’ chi Iximche’
Column11,
Column11, Xkiwëq ki’ richin lab’al
Column11,"  Man xa juchu’y, kachu’y achija’, ajlab’äl ta"
Column11,
Column11,  Man xeq’alajin ta
Column11,
Column11,"  Kachb’ilam rije’ xel pe kik’abowil, xel pe ri Tojojil"
Column11,
Column11," Xuche’ëx: “Kepe ta rajlab’al qikan, qanimal, qamama’!  Qajunumaj, tiqatojtob’ej  chïk qach’a’, qapokob’ kuk’in!  Lamyër ri K’iche’ winäq xkajo’ nkitïj lab’äl, nkib’än chïk lab’al chrij qasiwan, qatinamit"
Column11,
Column11," Ke re’ e elenäq el ch’aqa rujay, ruchinamit"
Column11, Xuk’äq apo chi re ri ajaw
Column11,
Column11,
Column11,
Column11,  Xkak’axaj rutzijol rusolb’al lab’al
Column11,
Column11,  Chi Tza’m Chi K’ib’ xb’an wi ojer
Column11,   Rija’ xuk’utuj ri kikamisaxik ri Aqajal winäq
Column11,  Rajpop Achi’ Sinajitoj  xachijïr chi ri’ Xe Chi Peqen
Column11,
Column11,  
Column11,"  Xemeje’, xexuke’ chuwa rupop, rutem ri ajaw Chukuy B’atz’in"
Column11,"  Kuk’in ri rachija’, Sinajitöj xuräm ri b’ey chi kij ri Tuquche’"
Column11,  Ch’aqa’ xeb’e kuk’in ri Tz’utujile’
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,"  K’a röj öj ch’uti’q k’ajola’, alab’oni’ töq xojkanäj kan qonojel"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  K’a ri’ xkäm k’a ri xoqojaw Chu’y Tz’ut
Column11,   Stape ke re’ xok B’eleje’ K’at chi ajawarem
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11, Xa ruyon ri aj tinamït xeb’e
Column11,
Column11,   Ke re’ xqana’ k’a öj itata’ töq xojtz’eto kokem chi Iximche’
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  K’a ri’ xkimöl  k’a ajawa’ kipwaq
Column11,
Column11,
Column11,
Column11,
Column11,"  Xb’an je k’otoj, xb’an k’a jul kichin ri kej"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11, Kamul qitzij nima’q chi kamïk xqab’än
Column11,
Column11,
Column11,
Column11,"  K’ïy winaqi’ kachb’iyil, xekachib’ilaj ri ajawa’"
Column11,
Column11, Ruk’amon chïk k’a rajaw juyu’
Column11,
Column11, “Ja tajawär kani!” xcha’ Tunatiw chi ke ajawa’
Column11,
Column11,
Column11,
Column11,
Column11,
Column11, Ri ajaw Alonso de Maldonado xok ri nima_q’atoy tzij richin ruk’u’x Ab’ya Yala
Column11,
Column11,  Kani xb’eya’ winaqi’
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  Xa majani xeb’i’in ruch’ab’äl dios chi qe
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  Ja ri ajaw Cerrato qitzij xtewurisan chïk poqonal chi kij winäq
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,"  Xe tzaqon ri äk’, manäq chïk äk’ richin ri tojïk"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11," Konojel ri winaqi’ ye’ajin yeyawab’ïx, yeyawäj ruma re yab’il re’"
Column11,
Column11,"  Qitzij najin yeq’aq’an padre fray Pedro, fray Joseph, koyowal rije’"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11," Xuch’ab’ej kan, xutz’ib’aj kan ri ruch’aronik ulew pa ruchi’ choy, chi kikojol ri taq tinamït"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,"  Xkib’ij chi re: “Ütz k’a, wi xtib’an achi’el nab’ij rat,  xtiqaya'  ka’i’, oxi’ amaq’ richin ta yatkitzüq"
Column11,
Column11,"  Chupam sábado chi ruwuqlaj q’ij richin ri ik’ noviembre 1584, xel ri sentencia ruma ri Audiencia"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11, 
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,"  Xkik’äm pe kitzij ri alcaldes, ri regidores kuk’in ri taq mama’ aj Pa Tulül"
Column11,  Jun tostón xqatöj röj
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,"  Ja ri fray Cristóbal de Olivera ri xb’ano’, ri xerupeyoj, xeroyoj pe"
Column11,
Column11,  Chuqa’ xkoje’ jun kisamaj ri xya’öx chke richin ta nkitöj kimak
Column11,  
Column11,
Column11,  
Column11, Xkitäq ri kajowab’al chuwäch justicia
Column11, 
Column11,
Column11,
Column11,  Xa qitzij xkisujuj rumak ri vino
Column11,” K’a ri’ xkitäq el ri ixoqi’
Column11,”  Ri oidor man xunimaj ta kitzij
Column11,  Xe’ok kik’exel
Column11,  Ka’i’  juna’ xteral xya’öx chi ke
Column11,
Column11,"  Jalajoj ruwäch ri tomín, jalajöj rub’anikil ri pwäq xkusäx"
Column11,”  Chi rumandamiento ri ajaw oidor xk’oje’ kan ri alguacil fiscal
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,"  Ja ri testigos ri xkitzijoj, xkiq’alajisaj numak:  ri Esteban Xjanel, Juan Jaracana, Antonio Julajuj, Alonso Xitayul"
Column11,  Xe’oqa  wo’o’ kastilan winaqi’ ruk’in
Column11,
Column11,
Column11,
Column11,"  Pedro, ajkastilanchi’,  xoqa pe Tzolola’  richin tub’ana’ ri sentencia achi’el xb’ïx kan ruma ri Audiencia"
Column11,
Column11,  “Katel k’a!” xuche’ëx pe
Column11,  Taya’ q’ij chwe nink’utuj ri nuq’anawinaq rïn!  Manäq numak!” xcha’
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  K’ïy tzij xinb’ij chi re’
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  Ke re’ xcha’ chi ke ri padres
Column11,  Xeruk’waj el ri raqän ya’
Column11,
Column11,
Column11,
Column11, Xrajo’nuch’äy
Column11, Xa e jilib’an chïk ruma xkito’ ri padre chupam ri ch’a’oj
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,  Xmaj ri proceso chi ruq’a’ ri gobernador
Column11,
Column11,  
Column11,
Column11,
Column11,  K’a ri’ xb’e ri ak’wal
Column11,  
Column11,
Column11,
Column11, 
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,"  Ri q’etzam kite’ ri nuyajme’al  xuch’ilab’ej jun rüq, jun rupo’t"
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column11,
Column12,
Column12,
Column12," Ke re’, na wi xepe ri Iqomaqi’"
Column12,"  Töq xe’utzin ri winaqi’, xkitïj che’, xkitïj taq xaq, ruyon ulew xkajo’ ok"
Column12,
Column12,
Column12,
Column12," K'a chila' tik'ama' wi!  Rïx  kixichanan!  Rïx tichapa',  titz’ama'!  Rïx kixsa'o ruwäch,  tiya' ruwa ruq'ij, tinataj rejqalem!   Mani kajawarem xinya' el lamyër"
Column12, Lamyër k’a xtikïr kipetik ri ajlab’al
Column12,
Column12,
Column12,
Column12," Xa k’a xek’oje’ chi ri’, xa e molan konojel ri amaq’, ajlab’al chi ri’ chi palow"
Column12,"  Ke re’ k’a xub’ina’aj wi Tojojil ri’; ruma ri’,  ruxamanel ri aj K’iche’ winäq Tojojil rub’í’"
Column12,"  Je k’a ri’ Telom, Kajib’aq kib’i’"
Column12,"  Xa ïn ruk’u’x juyu’,” xcha’"
Column12,
Column12,  Xrajqamestaj ri qach’ab’äl; xe jub’a’ xrajo’ richin ta nqamestaj kan ri qatzij
Column12, Ninya’ k’a chi iwichin re wajawarem re’
Column12,"  Man xkik’üt ta ki’,  man xkina’ ta;  Man xetz’et ta"
Column12,
Column12,"  K’a ri’ xrip k’a ri xuk’ chuwi’ che’, Xk’amb’ëx richin saqkorowäch, richin ri xuk’ ripon ri’ xkichäp ri saqkorowäch chi ri’ Xe Nimachäj"
Column12,
Column12,  Xe’apon k’a xe’ juyu’
Column12,
Column12,"  Tiqejqaj  item, ich’akat"
Column12,"  Man xtiqakusaj qach’a’, qapokob’"
Column12,"  “Stape röj öj Sotz’il, Tuquche’,  stape e qachaq’,  e qanimal ri B’akaj Poqoj, öj k’a B’akaj Xajil, ïx qak’ajol,” xecha’ ri ojer qatata’, qamama’"
Column12,  Rije’ xkik’äq apo taq simäj nïm kaqän
Column12,  Xk’oje’ kan rija’ akuchi’ xkitzäq ri Tolk’om
Column12,
Column12,"  Kani k’a xch’o ri aj Tz’ikinajay chi richin: “At ajaw, at nuchaq’, nunimal"
Column12,
Column12,
Column12,  Tikirinäq ri tz’aq töq xe’apon
Column12,"  Rajawarem Q’aq’awitz  xya’öx, xnimaq’ijüx kuma konojel ri taq jay, taq chinamït"
Column12,
Column12,  Xya’öx wi qa ri ija’tz
Column12,
Column12,
Column12, 
Column12,"  Chi ri’ k’a xkib’än wi ri’, chi ri’ pa rusaqirib’al ri B’ak’ajol"
Column12,"  K’a ri’ xkiya’ kan, xkipab’a’ kan ri k’axtok’, Chay Ab’äj"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  
Column12,  Ronojel ri rutoj ri Tepew xya’öx chi ke kuma ri taq amaq’
Column12,
Column12,"  Ruma ri’, xe xkitäq apo kime’al chi aq’a’, chi q’equm"
Column12,  Ja ri ixoqi’ ri xb’ekib’ij apo chi re Tepew
Column12,
Column12,"  Manäq chïk juley iwajawala’?   Man e k’o ta jun chïk iq’alel, iwajuchan?  Achike na nrajo’ ri Tepew chi qe?  Man xojb’e ta ruk’in, öj kamel"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,"  Najin npax ri ajawarem, xik’o el pa qach’alal"
Column12,
Column12, 
Column12,  Po ri ruk’ajol xenimär
Column12,
Column12,
Column12,  Rije’ ja ri ajawa’ chi Q’inoma’
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  Xejoyewatäj re winaq re’
Column12,   Xek’oje’ qamama’ pa B’oq’oy Ya’
Column12,
Column12,
Column12,
Column12,
Column12,"  Konojel ri ajlab’al  xe’ajin nkijunumaj lab’al, xkitojtob’ej kich’a’, kipokob’"
Column12,
Column12,
Column12,
Column12,  Xkina’ chi ri ajaw najin nuchüp kiq’aq’al
Column12,"  Ruma ri nima’q achi’a’ tzuqunel richin,  xeruna’,  xerupoqomaj"
Column12,  Rachkamik  xrajöx
Column12,
Column12,
Column12,
Column12,
Column12,"  Kani xrajjitz’atäj, xrajkäm ri achin"
Column12,
Column12,
Column12,  Man xkipa’e’ chïk pa iwi’
Column12,
Column12,  Kani na wi pe xb’an tz’aläm k’oxtum kuma qamama’
Column12," Xkixqato’,” xcha’ ri samajel, ri ajtzij kichin ri wuqamaq’ töq xapon kuk’in ri ajawa’ Kaqchikel"
Column12,
Column12,  Xkixib’ij ki’ ri K’iche’ winäq töq xtikïr ri lab’al
Column12,"  Ja rije’ ri kik’wayol b’ey konojel töq xkitïk, xkib’än kan, xkilaq’ab’ej kan chi Iximche’"
Column12,
Column12,
Column12,
Column12,  Ri ro’ ruk’ajol ri Wuqu’ B’atz’ ja ri Chopena’ Kej rub’i’
Column12,
Column12,
Column12,"  Jun kik’oxomanel, jun kixikin xk’oje’ pa tinamït"
Column12,
Column12, Xb’ekipopoj ki’ chi ri’
Column12,"  Manäq! Man e ajilan ta,” xcha’ ri achin anom, ri qaxikin chi ke ri ajawa’ Kaqchikel"
Column12,
Column12,  
Column12,
Column12,  K’a ri’ k’ate  xepe el ri ramonela’ chi kij
Column12,
Column12,  Man xekowin ta
Column12,
Column12,  Elenäq pe ri ajaw Lajuj No’j kuk’in
Column12, Xtaqe’
Column12,
Column12,
Column12,
Column12, Xketamaj chi ri Ka’oqe’ kinuk’un lab’al
Column12,
Column12, 
Column12,"  Xa ja re’ man xeya’öx ta ri Aqajal winäq chi kamïk kuma ri Ajpo Sotz’il, Ajpo Xajil"
Column12,
Column12,
Column12,
Column12," K’a ri’ ruk’in ri k’amöl tzaloj xeb’e chuwäch ri Ajpo Sotz’il, Ajpo Xajil, chi kikojol kitz’aq, kik’oxtum ajawa’"
Column12,
Column12,"  Konojel xejito’ ki’, ja ri xek’ulutäj chukojol juley taq amaq’ achi’el alk’ajol"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  Xq’eqak’üch Xtz’ikinajay xok chïk pe xoqojaw
Column12,  
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  Man xkajo’ ta konojel ri achija’
Column12,
Column12,  Xekik’ül ri kastilan winäq pa tinamït
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,"  Ronojel k’a rumam ajaw, ruk’ajol ajaw xkiya’ kipwaq"
Column12,
Column12,
Column12,
Column12,
Column12,  Simäj xekamisab’ëx
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,"  K’a ri’ pa waqi’ Tz’i’ xqatanab’a’ ri lab’al, ri kamisanïk ri qab’anon"
Column12,
Column12,
Column12,
Column12,  Chi ri q’ij waqxaqi’ No’j xe’apon Pan Choy
Column12,
Column12,"  Ronojel ri’ xqatz’ët röj, ïx nuk’ajol"
Column12,
Column12,  Xa k’a xk’ul chïk rutzij kuma ajawa’
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,"  Waqxaqi’ juna’ chrij ri rutikirib’al ri patanijïk, xapon pe ri ajaw Maldonado, ïx nuk’ajol"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12," Pa re juna’ re’ xa xe xek’oje’ ri ajyuq’ richin ri San Francisco (ri franciscanos), richin ri aj Merced (mercedarios), richin ri Santo Domingo (ri dominicanos)"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12," Xintz’ët rïn k’a ri’, ïx nuk’ajol"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,"  Xtane’ ri kamanijïk, ri samaj pa kuchb’äl xtane’"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  Ke re’ xojajin nqatz’ët
Column12,
Column12,"  Man qetaman ta kib’i’, kiwäch ri ajch’ameya’ ri xkib’än ri k’ayewal"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  Ri ch’a’oj xk’am pe chi ruwäch ruma ri ruchinamital ri Pedro Ramírez
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,"  Po wi xa xe’ natz’ük tzij, wi at k’axtok’, xkatqajitz’aj, xkatqawëch’ kan"
Column12,
Column12,  Xkiya’ ri retablo chi qe
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  Jotöl rajil ri q’atonïk tzij
Column12,  Ja re’ ri rajil uk’way richin ri proceso jurídico ri’
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12, 
Column12,
Column12,  Ka’i’ ik’ xesamäj pan ichaj
Column12,
Column12,
Column12,
Column12," Xkik’utuj ulew Ch’anach’a’ rub’i’, achi’el nïm ri k’as"
Column12,
Column12,
Column12,
Column12,  Chupam lunes xya’öx sentencia chi kij ajk’ay vino
Column12,  Xe xekanäj kan ri achi’a’
Column12,  Xuna’ chi man choj ta kitzij
Column12, Ruk’ajol don Juan Solís xk’oje’ achi’el gobernador töq xb’an
Column12,  Juley taq ajawa’ kaji’ tostones xkitöj
Column12,
Column12,
Column12,"  Xk’is ruya’oxik ri kosta, ri toj"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12, Pedro Nimachi’
Column12,"   E wo’o’ chi xe’oqa, po man xkib’än ta notificar chi kiwäch winaqi’"
Column12,
Column12,
Column12,
Column12, Ke re’ xb’an wawe’ ri kirapaxik
Column12,
Column12," Chuqa’ xb’ison don Ambrosio ruma xk’oje’ jun ch’a’oj ruk’in Alonso Barrientos, corregidor"
Column12,"  Xepe ri rachji’, rub’aluk, rujinan richin ta tikiq’alajisaj ri mak ruk’in ri yujüj chupam ri tinamït"
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12, Xiruju’ pa che’
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  Man ruq’alajisan pe ke re’
Column12,  Xb’anatäj jun b’ey chïk
Column12,
Column12,
Column12,
Column12,  Chi ri’ k’a xejach kuma kastilan winaqi’
Column12,  Ja ta ke re’ xrajo’ ri alcalde mayor
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  Xuk’äm el ruvara alcalde Aju’
Column12,
Column12,
Column12,
Column12,
Column12, Ri San Melchior xukül kan chi ri’
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,  Kajïl juwinäq tostones
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column12,
Column13,
Column13,
Column13,"  Ke re’ xepe ri kajch’ob’, kajmolaj, xek’am pe wawe’ ri amaq’i’"
Column13,"  Man xech’on ta, man xeb’iyin ta"
Column13,
Column13,
Column13,
Column13,"  Ja k'a ri, ja rïx xtiwejqaj el"
Column13,  Ja k’a ri’ töq xojpe k’a öj Kaqchikel winäq
Column13,
Column13,
Column13,
Column13,  Töq xeqïl xa k’isinäq kik’u’x
Column13,  Xecha’ chïk k’a Sotz’il winäq: “Xa xojk’oje’ kan chi ri’
Column13,"  K’a ri’ xe’el el chïk k’a chi ri’, Chi Yol, Chi Ab’aq"
Column13,"  K’a ri’ xk’utüx ri rokesam, ri rutzyaqb’al: “Xa taya’ chi qichin ri awokesam, ri atzyaqb’al!”  K’a ri’ xuya’ pe ri rokesam: jalism, qajon wi’aj, xajpota kik’,  ja ri rutob’al rukutamil kik’ rub’anikil, xajab’ kik’, rukamisab’al Saqik’oxol"
Column13,
Column13, Xa xqa chïk qak’u’x töq xojel pe kuk’in
Column13,"  Tikiyo’, tutaqa’ el ri rutzijol Sinpwal Taxuch!” xe’uche’ëx konojel ajlab’al"
Column13,"  Xpe k’a retal, rutzijol ruma ri saqb’in"
Column13,
Column13,  Ke re’ xuya’ ri’ chupam ri xuk’ ri saqkorowäch
Column13,
Column13,  Xecha’ k’a konojel ajlab’al:  “At qachaq’ myër xatoqa
Column13,
Column13, Röj öj jun wi chi winäq
Column13,"  Rïx ïx k’o, ïx qanimal,” xcha’"
Column13,  “Röj öj juwi chi ajlab’al
Column13, Chuwi’ juyu’ K’aqb’atz’ulu’ xk’aq wi
Column13,"  Xkanäj kan pa rutza’m jun nimab’äj, K’ab’owil Ab’äj rub’i’"
Column13,
Column13,"  Xa wawe’ nub’än ri awana’,  xuk’uluj yan chi re’"
Column13,
Column13,
Column13,"  Ri kik’wayol b’ey ri B’ak’ajol xcha’ chi re ri ruk’amol b’ey ri Q’eqak’üch töq xoqa: “Rïn ïn ajpop, kinak’ulu’!” xcha’ chi re ri Q’eqak’üch"
Column13,  Xa e molon chïk chupam rusaqirib’al
Column13,
Column13," Xek’oje’ jalatäq, jalajöj kiwäch echa’, ja re’ k’ïy kiwäch ichaj"
Column13,
Column13,
Column13,
Column13,  Ke re’ xq’ajär kan rub’i’ ri juyu’
