Sentence,Sentiment
"Wakamïn waqlajuj q’ij richin ri ik’ junio, chi ri q’ij b’eleje’ Imox,  xtz’ët ri Q’opoj María ruma jun loq'oläj ak’wal",String
"Wakamïn chi ri ruka’n q’ij richin ri ik’ Agosto ri gobernador xb’eruya’ wulew, rukochim q’etzam numama’, Diego López,  chi ke winaqi’ Xinku’i’ aj pa Chakum",String
 Ja ri kastilan juna’ 1601,String
Chupam kiq’ij ri oxi’ ajawa’ xek’utun wi xchechelu’,String
Chupam domingo xqa ri ch’ich’ campana,String
Wawe’ xik’o wi ri fiscal real chuxe’ ruq’ij San Miguel,String
Chupam ri ik’ octubre 1601 xtikïr kamïk pa tinamït,String
"Wakamïn chupam kiq’ij konojel ri santos, ri ajpopo’  xkitz’ët, xenik’on ruch’a’oj Francisco Machat",String
 Ja re’ ri kastilan juna’ 1602,String
"Chupam ik’ febrero chupam lunes chi kab’lajuj Aq’ab’al, xaläx nume’al",String
" Wawe’ xoqa jun juez, b’anol  notificar chuwäch ri gobernador",String
"Wakamïn chi ri rub’elej q’ij richin ri ik’ marzo, chi oxlajuj Aq’ab’al, xoqa ri ajaw obispo, fray Juan Ramírez, ya’ol confirmación, xe’utzirisäx konojel ri achib’äl,  chuqa’ ri cuentas, ja ri rosarios",String
Wakamïn chi ruk’isib’al q’ij richin ri ik’ mayo xk’oje’ nuch’a’oj kuma nuyajme’al,String
Wakamïn chi rulaj q’ij richin ri ik’ Agosto xb’an nimakikotem ruma rume’alanik ri ajaw rey,String
 Ja re’ ri kastilan juna’ 1603,String
 Ja re’ ri kastilan juna’  1604,String
 Ja re’ ri kastilan juna’ 1605,String
Chupam ri ik’ abril chi ri q’ij kaji’ Tijax xaläx nume’al Mariana wawe’ San Juan,String
(E sachinäq ri ruxaq wuj 1605-1614,String
 Ja re’ ri kastilan juna’ 1614,String
Xqa nimaq’ij cuaresma,String
K’a ri’ ri kastilan winaqi’ xkajo’ nikitöq’ ki’,String
(Manäq chïk wuj k’a ri juna’ 1619),String
 1619 años,String
(Wawe’ nk’is kan Kiwujil ri Xajila’,String
12,String
"  K’a ri’ xepe, xe’oqa winaqi’ wawe’ pa ri taq juyu’, taq’aj ri’",String
  Q’aq’awitz rub’i’ jun; Saktekaw rub’i’ jun chïk,String
" Jun K’atun, Ch’uti’aj kib’i’ ri xeme’alan, xek’ajolan B’ak’ajola’",String
" Xe ri qitzij ri ojer kitzij, ri xecha’ k’a ri Q’aq’awitz, Saktekaw: “Xepe kaji’ molaj winaqi’ Pa Tulan",String
  Xa jun chi sotz’ ri tz’apib’äl ruchi’ ri Tulan,String
"  Xek’oje’ oxlajuj ch’ob’ k’a wuqamaq’, oxlajuj ch’ob’ k’a ajlab’al, töq xojpe Pa Tulan chi q’equm, chi aq’a’, töq xya’öx pe ri qejqa’n",String
"  Xuche’ëx k’a ri chay ab’äj, ja chay ab’äj rub’i’",String
" K'a xamb'ey, pa k'isib'äl xojpe wi, öj ajlab'al",String
 Xepe ri Sotz’il winäq,String
"  K’a ri’ xojpixab’äx chïk k’a pe kuma qate’, qatata’: “jïx k’a, ïx nume’al, ïx nuk’ajol! Xeb’e yan ajay, achinamit",String
”  Töq xojpixab’äx pe ke re’: “Qitzij nïm xtiwejqaj,String
"  Chuchi’ Tulan, xoq’ pe jun chiköp, chajäl siwan rub’i’, töq xojel pe Pa Tulan",String
  Chakäl pe chuwi’ kaqache’,String
"  Jujun ök xeb’e chi kaj, jujun chïk xeb’e qa pan ulew",String
"  K’a ri’ xilitäj k’a ri’ K’o Xajil, K’o B’aqil rub’i’",String
"  Töq xe’el apo, ja ri Saqik’oxol ruchajin ri b’ey",String
"  Xtiqatz’ib’aj kan, xtiqayuqub’a’ kib’i’  ri taq juyu’ akuchi’ xojik’o wi wawe’: B’elej Chi Q’aq’, B’elej Chi Jun Ajpu’, Xe Suj, Xe Tokoy, Xe Uj, Xe Amatal, Chi Tz’unün Choy, Xe Kuku’ Juyu’, Tz’unün Juyu’, Xiliwistan, Sunpanku, Tekpalan, Tepustan",String
" Ri aj Meme’ Juyu’, Takna’ Juyu’ man q’aläj ta xech’a’o",String
"  Xojik’o k’a pe ruk’in Walil K’ajol, Tz’unün K’ajol",String
 Xe’ajin nkikïr ri pisïl ruloq’ob’al  kejqa’n konojel ri Poqoma’,String
"  Ruma rutoj, man xb’e ta pa lab’al, pa ch’a’oj",String
  K’a ri’ xak’axäx k’a roq’eb’al saqkorowäch pa Xe Nimachäj,String
  Xe’apon chïk k’a chuwi’ juyu’ Ch’opitzel,String
"  Chi ri’ k’a xkitz’ët wi el ruq’aq’al juyu’, Q’aq’xanul rub’i’",String
  Xe’ik’o chïk pe Sesïk Inup rub’i’,String
"  Xtintz’ib’aj achike xb’anatäj töq xqak’ül ri Iqomaq’i’, töq xe’ok kuk’in",String
  Ja re’ töq xilitäj chïk k’a ri Tolk’om rub’i’,String
"  Jun ri nab’ey al,  jun k’a ch’ip chi qichin",String
"  Nab’ey xweqitäj,  xok rukaw, jeb’ël ichinaj, utziläj tzyaqb’äl rokesan, rukusan pe",String
"  Ke re’ xq’ajär kan, xub’ina’aj kan Tza’m Tzaqb’äl Tolk’om",String
  Xrajo’ nuqasaj kiq’ij ri Tz’utujile’,String
  Majani ruk’amon pe,String
"  K’a chi q’equm, k’a chi aq’a’ xeb’e’, ma ja ni, xecha’",String
  Rije’ xetaq pe nab’ey,String
"  Xkuqub’äx chuwi’ rutem, ruch’akat",String
"  Ma ja ni xk’oje’ kitij, manäq achike yecha’äx,  manäq achike nikik’üx, manäq kiway, manäq kuk’ya’",String
  Ri rixjayil Q’aq’awitz petenäq kichin ri Tuquche’,String
"  Xa juwuq chi q’ij, xa k’a oxlajuj chi q’ij xtz’uqub’ëx re’",String
"  Ajkupilkat, Ajkanalaqam kibi’",String
" Xkitolob’a’ kan ri’, xkiya’ kan re tinamït re’",String
"  Kan ke re’ e ch’uti’q k’ajola’ ri Ka’i’ No’j, Ka’i’ B’atz’  töq xkäm kitata’",String
"  Xe’apon apo kichin ri Q’eqak’üch, B’ak’ajol, Sib’aqijay",String
  Xq’aqär qa jun ajaw Tepew rub’i’,String
"  Ka’i’ No’j, K’a’i’ B’atz’ e kajawa’ ri Q’eqak’üch, B’ak’ajol",String
"  Xtintz’ib’aj achike xb’anatäj töq xkik’waj apo kipatan ri Ka’i’ No’j, Ka’i’ B’atz’",String
"  Je juk’isïk xeb’e, xa xkiyonij chi kan ri Q’alel Xajil, Ajuchan Xajil",String
  Xe’ok rusamajela’,String
 Xek’ïyyan pe,String
"  Xemakamo’, xemayamo’",String
"  “Jo’, keqakanuj qajpop, xab’akuchi’ na e k’o wi!  Ruma kik’ayewal rije’ röj  chuqa’ xqaq’alab’a’ qi’, xojk’ïx",String
  Ke re’ xtz’et chïk kiwäch,String
  Ka’i’ No’j xok Ajpop Xajil,String
  Jun xeruk’ajolaj kaji’,String
  Ke re’ jun ruk’ajol Ka’i’ No’j xok Ajuchan Xajil,String
  Kani k’a xok chïk kik’exel,String
"  Xeyamalaqin, xkikusaj jeb’ël taq ichinaj",String
"  Ja rije’ kik’ajol ri Q’alel Xajil, ri Ajuchan Xajil",String
  Xkipixab’aj ki’ achike ri ütz ta xtikib’än apo,String
  Xeq’ax apo juk’an chïk,String
  K’a chi ri’ xekik’ül kaji’ chi amaq’,String
  K’ïy kitinamit xek’oje’,String
  Töq xkäm rija’ xajawär chïk k’a ajaw K’otb’äl Kan,String
  K’a ri’ xe’apon chïk qamama’ chuwi’  tinamït Chi Awär Tz’upitaq’aj,String
"  Töq xkitïk, xkib’än kan ri tinamït Chi Awär, xajawär Xitayul Jax",String
  Ri ka’i’ ajawa’ ri’ xepa’e’ pa ruwi’ ri tinamït Ch’upitaq’aj,String
"  Xe’ajin nkijunumaj, nkitojtob’ej kiwäch kich’a’, kipokob’",String
"  Ri Jun Toj, Wuqu’ B’atz’ xe’ajin ye’ok, nkipo’ ki’ q’aq’aläj achija’ ajlab’al, nimaläj",String
"  Xekäm ri Rajamun, Xikitzal",String
"  Qitzij xek’amo q’aq’al, tepewal",String
  Rumama’  ja ri’ ajaw Sitan K’atu’,String
"  Ja ri ajaw K’iqab’ najin nq’aq’är töq xe’ajawär qamama’ Jun Toj, Wuqu’ B’atz’",String
" Ja re’ konojel ri taq tinamït ri xkiqasaj kan Jun Toj, Wuqu’ B’atz’ ruk’in ri ajaw K’iqab’",String
  Ja ri’ ruchinamital ri ajaw K’iqab’ ri xyako ch’a’oj,String
  Rije’  chuqa’ xe’ajin yeq’aq’är,String
"  Qitzij xek’oje’ k’ïy taq kal kik’ajol, kisamajela’ chupam re moloj re’",String
"  Xusüj q’inomal, pwäq, tumin chke ri achija’",String
"  Xchup qa kiq’aq’al ri K’iche’ ruma rutzij, ruchi’ ri ajaw K’iqab’",String
"  Xe xk’is el re ch’a’oj re’, xpe chïk jun chi kij qamama'",String
"  Ja ri Jun Toj, Wuqu’ B’atz’, Chuluk, Xitamal Kej ja rije’ ri  kaji’ chi ajawa’ ri’",String
"  Xutäq apo rutzijol chi ke ri ajawa’ Sotz’il, Tuquche’",String
"  Ri ajaw K’iqab’ xutäq apo rub’ixik chi ke ri Jun Toj, Wuqu’ B’atz’: “Ri qalab’al iwuk’in manäq ruxe’, manäq ruwi’, ïx nuk’ajol",String
  Xeb’oqotäj pe qamama’ Chi Awär Tz’upitaq’aj,String
  Ri wuqamaq’ man xech’on ta apo chike  ri K’iche’a’,String
  Majani xkitïj lab’al ri K’iche’ winäq chi rij ri Kaqchikel winäq,String
"  Qamama’ Jun Toj, Wuqu’ B’atz’ xkitïk, xkib’än jeb’ël taq tinamït",String
" Ja rije’ e ri aj Popoya’, aj Pan Käq’, aj Jolom, Mixku’, Tamyak, konojel ri Poqoma’",String
"  K’a ri’ xkäm chïk ri ajaw Wuqu’ B’atz’, qamama’",String
"  Je k’a b’eleje’ chi achi’a’ xeruk’ajolaj ri ajaw, qamama’ Wuqu’ B’atz’",String
  Nxib’in  chuqa’ ketamab’al,String
"  Chrij rija’ xok chi ajaw runab’ej ruk’ajol, Kab’lajuj Tijax rub’i’",String
"  Töq xkäm ri K’iqab’, ri K’iche’ winäq xkitïj jun b’ey chïk lab’al chi rij ri Kaqchikel winäq",String
  Xkib’öq pe ki’ pa tinamït Q’umarkaaj,String
"  Majani okinäq rutzijol kuk’in qamama’ Oxlajuj Tz’i’, Kab’lajuj Tijax",String
" Xkiwëq ki’ chi ch’a’, chi pokob’, chi to’j",String
"  Xuchäp juch’ob’ achija’, xb’ekirama’ ri b’ey chi kij ri K’iche’ richin ta man xketikïr ta yetzolin chi kij",String
"  K’ani xb’os sik’, xoqa kisik’ yuyub’",String
"  Xek’oje’ pa ri taq tinamït Chi Jolom, Q’uq’ujuyu’, K’axk’an",String
"  Kani xkipopoj kitzij, xkipixab’aj ki’ chi rij Ich’al",String
"  E k’ïy rajlab’al, rachija’ xe’el pe ruk’in ri nawal ajaw, Ixch’al",String
"  Jikilib’en chïk kikamik ri Aqajal winäq, ri Aqajal ajlab’al",String
"  Xtintz’ib’aj kib’i’  ri nima’q achija’ ri xekäm ruk’in: Soroch, Juqajïk, Tamelto’j, Juwarajb’ix, Wa’ilk’ajol",String
  Xkiqasaj ri tinamït Chi Jolom,String
  Ri kinim_ajaw ja ri B’eleje’ Q’ij,String
"  Ri Aqajal winäq k’a yek’ase’, e k’äs na xek’oje’ chïk pa kitinamit Xe Rajapit",String
"  Ruma e ajawa’,  ja rije’ ri q’atoy tzij kichin ri kiwinäq",String
  Ri ajaw Ka’i’ Junajpu’ xuk’üt kan ri q’ij,String
  Qitzij xeya’är chi kamïk,String
" Töq xsaqarisan pe ri q’ij, xe’el pe",String
  Rija’ runuk’un ri rukolonik ri tinamït,String
  Xe’apon ka’i’ chïk tanaj ajlab’al kito’on richin ri ajaw Ka’i’ Junajpu’,String
  Mani chïk xek’ulela’an,String
 Xe jub’a’ xrajo’ richin ta xekäm ri aj Tib’ak’oy,String
"  Rija’ rukolon ri’ kuk’in ri K’iche’, po najin niq’aq’är",String
  Chi q’ij julajuj Aq’ab’al xb’an,String
 Ri nab’ey rujunab’il ri yujuj  xel chi ri q’ij waqxaqi’ Aj,String
"  Xkichäp chïk lab’al kuk’in ri ajawa’ Oxlajuj Tz’i’, Kab’lajuj Tijax",String
  Ri ruka’n rujunab’il ri yujuj xel chi ri q’ij wo’o’ Aj,String
  Ri K’iche’ xeto’on richin jun chïk yujuj,String
  Rije’ e tzuqül richin ri ajaw Kab’lajuj Tijax,String
"  Xa xkachk’ulchi’ij ri ajaw Wo’o’ Kawoq, ri rajawal Aqajal winäq",String
  Xkichäp chïk lab’al,String
  Xkichäp lab’al kuk’in ri Kaqchikel winäq,String
  Xkinimaq’ijuj ri rub’anik ri jay,String
"  Rija’ ri rixjayil Lajuj Tijax, ri ruk’ajol ajaw K’iqab’",String
  Chi ri q’ij oxi’ Ajmaq xkäm ri ajaw ri’,String
"  Ja rija’ xok chi ajawarem töq xkäm ri ajaw Oxlajuj Tz’i’, töq xkäm rutata’",String
  Xa e oxi’ xeralaj rija’,String
  Ja rije’ kite’ ri ch’aqa’ ruk’ajol ri ajaw Oxlajuj Tz’i’,String
  Chi ri q’ij kaji’ Ey xkäm ri ajaw ri’,String
 Xok ruk’exel rutata’,String
"  Je k’a xe’ula’an, xekik’ül ri ula’i’ ri ajawa’ Jun Iq’, Lajuj No’j",String
" Je k’ïy Yaki’ xe’oqa pe ojer, ïx nuk’ajol töq ye’ajin ye’ajawär qamama’ Jun Iq’, Lajuj No’j",String
"  Chi waqxaqi’ Q’anil  xe’ok k’amon lab’al ri K’iche’,  xkichäp chïk lab’al ri K’iche’ töq najin najawär Jun Iq’, qamama’",String
"  Ri ajxik’ chikopi’ ri’ xkitïj ri tiko’n, ri ichaj, ri q’ayïs, ri räx",String
 Chi ri q’ij ka’i’ Iq’ xe’ik’o pa tinamït,String
"  Chi ri q’ij kaji’ Kamey, xya’är tinamït chi q’aq’",String
  K’ïy nima’q achija’ xkiya’ ki’ töq xkib’än lab’al chi ri’,String
"  Xe ruxikin Chi Poqoj, Pa Muqche’ xe’ok wi ri K’iche’ winäq",String
"  Rija’ xujotob’a’ jun jeb’ël jay, jeb’ël rochoch",String
"  Chi K’otoj, chi Q’osib’äl Kaqolajay xb’an wi",String
" Nab’ey xyab’ïx, xyawäj chi ojob’,  xyawab’ïx chi kik’ pa kitza’m,  xyawäj chi q’anachuluj",String
"  Xeyab’ïx, xeyawäj chi ch’a’k",String
"  Ja töq xek’is qatata’, qamama’, Diego, Juan",String
"  Chi ri q’ij kab’lajuj Kamey xkäm ri ajaw Jun Iq’, ixikin mama’, rutata’ imama’",String
 Xa k’a junam xekäm imama’ ruk’in rutata’,String
  Ke re’ ri cholajem kalaxïk,String
  Ja qitzij rija’ najin nq’aq’är chi kiwäch ri ajawa’ töq xpe ri nima_kamïk ch’a’k,String
  Ri ajaw Ajmaq xuk’ajolaj ri don Pedro Solís,String
"  Manäq retal rija’, manäq rujotay",String
   Xe e oxi’ chi ke ri qatata’ xekolotäj chïk ruma ch’a’k,String
" Chi ri q’ij jun Kan xechap, xe’ok chi ajawarem",String
 Chi ri q’ij lajuj Kej xb’an,String
  Chi julajuj Imox xeya’är chi kamïk ri Tz’utujile’,String
  Xe’oqa chïk el kuk’in ri Kaqchikela’ richin ta nkiköl  ki’,String
"  Manjun chi ke ri nima’q achija’ xkanäj kan, manjun xk’ase’ kan",String
"  Xjunab’ïr töq xekäm imama’, xik’ule’",String
  Xojch’akon chïk jun b’ey,String
" Chi kawinäq rub’elej juna’ chrij ri yujuj, xe’oqa pe ri kastilan winäq Xe Pit, Xe Tulül",String
  Xeya’är chïk K’iche’ winäq chi kamïk chi ri’,String
" Kani xk’ul ri Tunatiw kuma ri ajawa’ K’iche’, ri ajpop, ri ajpop k’amajay",String
 Xerukamisaj ke re’,String
 Tunatiw rub’i’ kajawal,String
  Xrajo’ nuqasaj juley taq tinamït,String
  Xb’erub’ana’ lab’al chi ri’ Kuskatan,String
"  Xa kawinäq q’ij xb’ekib’ana’ chi ri’ Kuskatan, k’a ri’ xe’apon chïk pa tinamït",String
"  Stape ri Tonatiw xurayij molon pwäq, taq tzimaj nojinäq chi q’anapwäq, saqapwäq, stape k’alwäch, ichinaj rajowan,  majun xkik’äm pe ri ajawa’",String
  Xub’ij kan chi k’o chi tujacha’ chi re oxq’o peso,String
  “Ïn kaqolajay,String
  Ja k’a ri’ xtole’ kan tinamït chi Iximche’ xa ruma ri achin k’axtok’,String
"  Töq xutz’ët chi tolan rupam ri tinamït, chi e elenäq el konojel ri ajawa’, xpe royowal",String
 Tan xek’ilïx ri tinamït Xe Paw kuma ri kastilan winäq,String
  Xa xkos,String
  Xtzolin quchuq’a’,String
"  Chi ri q’ij jun Kawoq, xtikïr chïk qakamik kuma kastilan winäq",String
  Xkitolob’a’ kan Chi Xot,String
  Ri k’wayol b’ey Ch’inta’ Kej rub’i’ xutöj chre ri Tunatiw,String
  Chi ri q’ij waqi’ Aq’ab’al xkäm,String
" Kajwinäq q’ij ruwaq juna’ xkib’än ajawa’ xe che’, xe k’am",String
  Xpatanïx chïk pwäq chuwäch Tunatiw,String
  Chi ri q’ij wuqu’ Kej xkäm,String
  Xkitz’uyub’a’ don Jorge chi ajawarem,String
" Xujäch, xutöj ri patan",String
"  Xeb’e apo ri kastilan winäq, xeb’ekamisan",String
 Qitzij k’a ja ri ajaw Maldonado xoqa richin ta ntewurisan poqonal chi kij ri winaqi’,String
  Puerto Kawayo xel wi pe ri juku’ töq xapon pe chïk Tunatiw töq petenäq Kastilan,String
  Chi ri q’ij julajuj Ajmaq xch’ay ri ajtz’ib’,String
"  Töq xapon chïk Tunatiw Pan Choy, kani k’a xb’e el ri ajaw Maldonado",String
  Chi ri q’ij oxlajuj Q’anil xejitz’äx Kaji’ Imox ruk’in Kiyawit Kawoq  ruma Tunatiw,String
"  Xa xkaqwachïx, xchap, xch’it chi ri q’ij kaji’ Kan",String
  Chi ri q’ij waqxaqi’ Iq’ xejitz’äx ajaw Ch’ikb’al ruk’in Nimab’äj Kej Chun,String
  Xb’ekäm Xuchipillan,String
 Ja töq xekäm ri kastilan winäq Pan Choy,String
"  Je ajyuq’ e tz’eqelb’en ri Santo Domingo, e dominicanos",String
  Xa ruma chaj ri franciscanos  xe’el pe,String
 Ja töq xmol jay wawe’,String
" Rija’ xub’ij kan chi konojel ri winaqi’ k’o chi yek’oje’ pa taq tinamït, manta pa juyu’",String
 Chuqa’ chupam kipopol ri kastilan winäq k’a xk’oje’ na licenciado Pedro Ramírez,String
  Chi ri q’ij kab’lajuj Tijax xkäm,String
  Ri rucampana ri rochoch dios xapon Tzolola’,String
 Xe jub’a’  xrajo’richin ta nkäm ri obispo ruma ajaw licenciado Ramírez,String
"  Jun q’ij chwäch ri Visitación de María, xe’apon",String
  Chi ri q’ij ka’i’ Junajpu’ xapon ri ajaw wawe’,String
 Xa k’a jalal kikojol ajawa’,String
  Man xub’än ta ruq’atb’al tzij,String
  Chi ri q’ij jun Kan xkäm,String
  Qitzij chi nima_ajtij qatata’ de Vico,String
  Chi ri q’ij jun Tz’ikin chupam qaq’ij röj xkinimaq’ijuj ri rokem ri k’ak’a’ kitata’ champomal rije’,String
  Ja töq xok kipatan ri nima’q achi’a’,String
 Pa ri nab’ey q’ij pa ri rujulaj kastilan ik’ xel pe ri doctrina,String
 Ja ri’ kastilan juna’ 1557,String
"  Chi ri q’ij wo’o’ Ey xb’oq’otäj, xoqotäj el wawe’",String
  Xel roxwinäq juna’,String
  Chi ri q’ij oxi’ K’at chupam qajilab’al röj xapon ri ajaw Pan Q’än,String
"  Ojer xtikïr chi kikojol ri juley taq amaq’,  k’a runaj xapon wawe’ quk’in",String
  Ja ri juna’ 1559,String
"  Xorub’ana’ ruchi’ kijuyub’al, ruchi’ kulew ri Tz’utujile’",String
  Xa wi kani xchapatäj chïk kan nutata’,String
"  Qitzij man ajilan ta jampe na winaqi’, ixoqi’, ak’wala’ xekäm",String
  Ja ri kaxlan juna’ 1560,String
"   Andrés Ch’uk, Juan Pérez, Lolmay K’oraxon ja ri alcaldes chupam re juna’ re’, 1561",String
  Xel oxi’ juna’ chupam ri rukaj may chrij ri yujuj,String
"  Francisco Hernández, Juan López, ri mama’ Simäj e ri alcaldes chupam re juna’ re’, 1562",String
   Ja töq xel kaji’ juna’ chupam ri rukaj may chrij ri yujuj,String
"  Juan Ajtz’alam Saqb’in, Pedro Q’alel Q’eqak’üch e alcaldes",String
 Kani xejalatäj ri ajawa’,String
" Ja ri nab’ey obispo, don Francisco Marroquín",String
"  Ja ri don Pedro de Robles, Pedro Ramírez e alcaldes chupam re juna’ re’, 1564",String
  K’ïy xekäm ruma re yab’il re’,String
  Ja ri  ruq’ij ri Circuncisión pa kicholab’ ri taq ajyuq’ aj España,String
  Jumay b’eleje’ juna’ ruk’wan achi’el ajaw töq xapon ri obispo don Bernardino,String
"  Xekis qajay, qochoch, qatz’aq chuwäch ulew chi ri’ Selajay,  Pasu’m, Chiq’a’l",String
  Xtikïr ruwaqxaq juna’ rukaj may chrij ri yujuj chi ri q’ij ka’i’ Aj,String
  Xelesäx el pa rusamaj,String
"  Don Pedro de Robles, Pedro Ramírez e alcaldes",String
"  Don Pedro Solís ruk’in Juan López, ma Simäj e alcaldes",String
  Man xoqa ta wawe’,String
"  Gonzalo de Guzmán ruk’in Francisco Hernández, Q’alel B’ak’ajol e alcaldes",String
  Xa k’a e ka’i’ ruk’ajol don Juan,String
", ruk’ajol Agustín",String
"  Don Cristóbal Rubio ruk’in Francisco de Paz, ma Matz’ar e alcaldes",String
"  K’a ri’, kajij,  kaji’ q’ij chrij,  chi rujuwinäq lajuj q’ij chupam ri ik’ julio xq’osïx rochoch ri Pedro Ramírez ruma kaqolajay",String
" Jorge de Vera, Francisco Pérez e alcaldes",String
  Ana xub’ina’aj,String
  Gabriel rub’i’,String
  E b’anol cuenta chuwi’ jay wawe’ Santa María Asunción Tzolola’,String
"  Q’eq, xaq Xelajub’ pa pascua alaxb’äl",String
"  Don Cristóbal Rubio, Pedro Ramírez e alcaldes",String
" Chi ruwaqxaq q’ij richin ri ik’ diciembre xkäm don Martín Q’alel  Xajil, chupam ruq’ij Santa María Concepción",String
  Xb’ek’ulu’ pa Ch’okoya’,String
"  Diego Hernández Xajil, Pedro Martínez e alcaldes",String
 Xpe México,String
  Pedro Elías rub’i’,String
"  Pa re juna’ re’ xutäq pe rutzij ri presidente, xk’oje’ jun k’ak’a’ qatoj, qapatan",String
"  Kaka’ tostones, jujun media fanega ixim, jujun kastilan äk’ k’o chi nqatöj chi qajujunal",String
"  Gonzalo de Guzmán, Pedro Ramírez e alcaldes",String
  Chi ruwaqlaj q’ij richin ri ik’ marzo xapon ri ajaw obispo don Jerónimo Gómez de Córdoba,String
"  Nkajilaj ri taq jay e k’o pa tinamït ruma ri tojïk, ruma ri patan",String
" Ja ri q’ij töq xapon rija’, xk’at rochoch dios pa nimaq’ij, tik’ïl q’ij",String
"  Don  Francisco Pérez, Diego Hernández Xajil e alcaldes",String
"  Xekichäp Hernando de Angulo, corregidor",String
" Kitz’eton rajil, ri rejqalem konojel ri qichin, qochoch, qulew, qawäj, qatiko’n",String
" Xech’ub’, xeya’är ri winaqi’ chi kamïk",String
"  Don Ambrosio de Castellano, Juan López, ma Simäj e  alcaldes",String
  Ja ri cruz chuwäch rochoch dios,String
 Ja ri’ jun nimaläj ch’ab’iq’aq’,String
"  Ja ri jun q’ij, jun aq’a’ xuxe’ runimaq’ij San Andrés",String
"  Don Cristóbal Rubio, Juan Pérez, Lolmay K’oraxon e alcaldes",String
  Xeb’ek’ulu’ pa lunes,String
  Rije’ e  rajawa’ ri chinamït,String
 Pan Q’än xpe wi el,String
"  Bernabé Arana, Gaspar Chululan e ruka’n alcaldes",String
  Xkiya’ qa ri k’ak’a’ taq juku’ chi choy chi ri’ Tzamjay Pan Ajache’l,String
  Xepe Zacatán,String
  Xa k’a ja töq xuch’äy ri alcalde Juan Luís,String
" Don Juan Hernández, Pablo Ximénez e alcaldes",String
"  Rija’ ja ri Ajpo Xajil, rumam ri ajaw Jun Iq’",String
"  Chi tik’ïl q’ij, pa sábado xb’anatäj",String
"  Don Cristóbal Rubio, Pedro Méndez e alcaldes",String
  Xepe nkajilaj ri taq jay richin ri rutojik ri patan,String
 Kani xkäm,String
  Qitzij nima_q’aq’,String
"  Don Ambrosio de Castellano, Pedro Martínez, rajtzij winäq achin Xq’ujay e alcaldes",String
" Ja don Fernando, ri corregidor, ri ya’on pa che’",String
 Xb’e’ajäx Santa Clara,String
"  Don Francisco Pérez, Diego Hernández Xajil e alcaldes",String
  Ja re’ chi rulajwinäq q’ij chupam ri qajilab’al q’ij röj Kaqchikela’,String
" Xerajporöx, ajowan kiporoxik",String
"  Pa jueves toq’a’, chi q’eqal xkäm wi",String
  Xb’eketaj ri ulew chi ruchi’ choy,String
  Ruloman runimaq’ij Santa Catalina toq’a’ xaläx wi,String
"  Pedro Hernández, Pedro Ramírez e alcaldes",String
  Xutzirisäx ri candelas,String
"  Ja re’ rutzij ri qanimatata’ ri santo padre de Roma, ri papa Gregorio Oxlajuj",String
" Xeq’ajan ri taq ch’ich’ oyob’äl, ri taq campanas",String
" ajaw don Pedro Martínez, gobernador",String
  Petenäq Nicaragua,String
"  Ri padre fray Juan de Mendoza kuk’in konojel ri ajawa’ xeb’e, xkib’än procesión",String
  Pa wa’im xoqa,String
 Xepe pa Castilla,String
  K’ate xq’eqär,String
"  Pa runimaq’ij Santa Catalina xk’am pe ri bula papal, ri rutaqonem ri santo padre kuma ri kastilan winaqi’",String
"  Ri ajaw kastilan, ri rey, xuya’ pe chi ke jun jeb’ël retablo",String
  Xtink’äm nusamaj chupam re juna’ re’ 1585,String
  Qitzij xyaloj xulan q’ij,String
  Xkäm ruma Gaspar Q’ëq,String
"  Ri rey, ri Audiencia xkiya’ wotuk roxq’o’ tostones richin",String
  Pa ruwi’ ulew ri k’ayewal,String
  Xb’erajilaj ri alab’oni’ pa tinamït,String
  Rija’ ja ruk’exel ri padre fray Juan Martínez,String
  Xk’ut ri achib’äl,String
 Xkäm chi ri’ Santiago pa runimaq’ij Santa Ana,String
  Ke re’ pa viernes xmuq,String
"  Re retal dios re’ xk’ul kuma ri padre fray Juan de Mendoza, fray Juan de la Torre wawe’ Tzolola’",String
"  Ïn mama’ Francisco Díaz, ma Pakal",String
"  Diego Hernández Xajil, Francisco Arana aj Moxnay e alcaldes",String
  Ruloman yinajin yisamäj achi’el mayordomo xb’an,String
  Xojok alcaldes,String
 Chi kiwäch konojel ri aj tinamït xb’an wi,String
"  Xepe ri fiscal Pedro, aj B’oko’; ri ajtz’aläm Sitan, aj Pa Sisiya’;  ruk’in Pedro Pérez, aj Pa Chajiya’",String
  Xok achi’el ruk’exel rumama’,String
"  Xjalatäj Pedro Méndez, mama’ Aju’",String
"  Xoqa richin nrik’owisaj, nutzula’ ri samaj ri xub’än kan ri Quijano achi’el corregidor",String
  Xpe México,String
  Xik’o Santiago Atitlán kuk’in ri Tz’utujile’,String
"  Xorub’ana’ visita richin ta nretamaj achike rub’anon qatijoxik, kitijoxik konojel ri amaq’",String
  Xekäm k’ïy kastilan winäq ruk’in,String
"  Pablo Hernández, Pedro Méndez Aju’ e  alcaldes",String
  Xk’am pe jun jeb’ël santo sacramento pa domingo,String
  Pa lunes xaläx,String
"  K’a ri’ xoqa padre fray Pedro de Arboleda, provincial, wawe’ Tzolola’, b’anol visitar, ja re’ jun tz’etonel",String
" Xtzaq ch’umil, ch’ab’iq’aq’ pan ulew",String
 Fray Jerónimo de Tapia xb’ano misa chi ri’,String
